restaurant_name,review_date,rating,review_text,cleaned_text,model_star,model_confidence,rating_score,model_score,final_score,final_sentiment,top_words
99 Grill,27 November 2025,5.0,perfect 🙌🏻,perfect raising_hands_light_skin_tone,5.0,0.7727217078208923,1.0,0.7727217078208923,0.8409051954746245,positive,perfect light _ tone _
99 Grill,27 November 2025,1.0,أسواء مطعم في الأردن,أسواء مطعم في الأردن,5.0,0.38398227095603943,-1.0,0.38398227095603943,-0.031212410330772433,neutral,الاردن في ##واء م اس
99 Grill,22 November 2025,1.0,طعم اللحمة وريحة الوجبة جدا سيئين! تجربة لا تعاد,طعم اللحمة وريحة الوجبة جدا سيئين! تجربة لا تعاد,2.0,0.35280609130859375,-1.0,-0.17640304565429688,-0.42348213195800777,negative,لا جدا ! سي ##يين
99 Grill,22 November 2025,5.0,كتيييير زاكي  الاكل,كتيير زاكي الاكل,1.0,0.28258976340293884,1.0,-0.28258976340293884,0.1021871656179428,neutral,##ي الا ز ##ير ك
99 Grill,21 November 2025,3.0,I asked for pickles they didn't add any,I asked for pickles they didn't add any,1.0,0.4079718589782715,0.0,-0.4079718589782715,-0.28558030128479,negative,any didn they t i
99 Grill,19 November 2025,5.0,very good,very good,5.0,0.5479445457458496,1.0,0.5479445457458496,0.6835611820220947,positive,very good
99 Grill,13 November 2025,2.0,الخبز مفتفت وبايت والبرجر ناشف يدوب حاطين نقطه صوص,الخبز مفتفت وبايت والبرجر ناشف يدوب حاطين نقطه صوص,1.0,0.4231310188770294,-0.5,-0.4231310188770294,-0.4461917132139206,negative,نقطه ال و م وب
99 Grill,12 November 2025,5.0,تجربة رائعة❤️,تجربة رائعة red_heart,5.0,0.5759857296943665,1.0,0.5759857296943665,0.7031900107860565,positive,##يعة را ت red ##بة
99 Grill,12 November 2025,5.0,الخدمة ممتازة والاكل كان كثير زاكي,الخدمة ممتازة والاكل كان كثير زاكي,5.0,0.5217714309692383,1.0,0.5217714309692383,0.6652400016784668,positive,كان ال والا م كثير
99 Grill,12 November 2025,5.0,great food,great food,5.0,0.7152288556098938,1.0,0.7152288556098938,0.8006601989269255,positive,great food
99 Grill,12 November 2025,5.0,quality is very excellent 👌 and all is fresh.,quality is very excellent OK_hand and all is fresh.,5.0,0.7774869799613953,1.0,0.7774869799613953,0.8442408859729766,positive,ok very _ excellent is
99 Grill,12 November 2025,5.0,اسطوري,اسطوري,5.0,0.3470166325569153,1.0,0.3470166325569153,0.5429116427898406,positive,##ي اس ##طور
